ID;menmonico;Nome;Prazo;Sinonímia;Coleta;Material;Metodologia;coleta2;encaminhamento;finalidade do exame;interferente;paciente;instruções Material Coleta;instruções Paciente;instruções Coleta;Instruções Encaminhamento
1;AAESP;ANTICORPOS ANTI ESPERMATOZOIDES;15 dias úteis;Espermatozoides,  anticorpos anti, anticorpos anti esperma;COLETA1, Volume1;Soro;Imunoensaio enzimático;"- (AAESP)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (AAESP)VOLUME MÍNIMO:1 mL. ";- (AAESP)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): não se aplica.;Resultados alterados deste exame podem ser encontrados em casos de infertilidade, bloqueio dos ductos eferentes nos testículos ou vasectomia.;;"- (AAESP)PACIENTE:
Não se aplica.

JEJUM:
Jejum não obrigatório ou conforme orientações do profissional solicitante.

";;;;
2;BET2G;BETA2 MICROGLOBULINA, SERICA;01 dia útil;Beta-2-Microglobulina, Beta2, B2 Microglobulina, Beta 2;COLETA1, Volume1;Soro;Quimioluminescência;"- (BET2G)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (BET2G)VOLUME MÍNIMO:1 mL. ";- (BET2G)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: 2 dias.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;A medida de b2-microglobulina no soro é útil para a monitorização de pacientes com doenças linfoproliferativas, especialmente linfomas de Hodgkin e não-Hodgkin e plasmocitomas. Também pode ser utilizada para a detecção de rejeição de órgão sólido transplantado.;- (BET2G)INTERFERENTE(S):Hemólise intensa.;- (BET2G)PACIENTE:Não se aplica.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
3;CALIS;CALCIURIA AMOSTRA ISOLADA;01 dia útil;Calciúria amostra isolada, Dosagem de cálcio na urina isolada, Cálcio na urina, Cálcio urinário;COLETA904, VOLUME477;Urina amostra isolada;Colorimétrico - cresolftaleína;"- (CALIS)COLETA:Urina (amostra isolada).
Após assepsia, coletar urina jato médio.
As amostras devem ser coletadas em tubo cônico ou frasco coletor universal sem nenhum conservante.
REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.
Cliente menstruada que não colheu material com tampão vaginal.- (CALIS)VOLUME MÍNIMO:
5,0 mL.
 ";"- (CALIS)ENCAMINHAMENTO:
Refrigerada (2°C-8°C).

ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 2 dias.
Congelada (-20°C): 30 dias.
";A determinação da concentração do cálcio urinário em amostra isolada tem valor limitado porque sua excreção varia com a dieta diária.  É mais utilizada em conjunto com a medida da concentração de proteína urinária , como marcador de hipercalciúria.;;"- (CALIS)PACIENTE:Coletar amostra isolada de urina. Preferencialmente, a primeira amostra da manhã.
Quando da solicitação conjunta de US, cujo preparo prévio determine ingestão hídrica, chegar com pelo menos duas horas de antecedência, realizar primeiro o exame de urina e depois o preparo para US.
JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
4;CREUR;CREATININA, URINA ISOLADA;01 dia útil;Creatinúria, Dosagem de creatinina na urina, Creatinina urina isolada, Creatinina urinária;COLETA904, VOLUME477;Urina amostra isolada;Colorimétrico - Jaffe;"- (CREUR)COLETA:Urina (amostra isolada).
Após assepsia, coletar urina jato médio.
As amostras devem ser coletadas em tubo cônico ou frasco coletor universal sem nenhum conservante.
REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.
Cliente menstruada que não colheu material com tampão vaginal.- (CREUR)VOLUME MÍNIMO:
5,0 mL.
 ";"- (CREUR)ENCAMINHAMENTO:
Refrigerado 2°C - 8°C.
ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 4 dias.
Congelada (-20°C): 30 dias.
";A determinação da concentração da creatinina urinária em amostra isolada tem pouco valor na evolução da função renal. É mais utilizada em conjunto com a medida da concentração de outras substâncias urinárias.;;"- (CREUR)PACIENTE:Coletar amostra isolada de urina. Preferencialmente, a primeira amostra da manhã.
Quando da solicitação conjunta de US, cujo preparo prévio determine ingestão hídrica, chegar com pelo menos duas horas de antecedência, realizar primeiro o exame de urina e depois o preparo para US.
JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
5;CST1;CORTISOL NA URINA;11 dias úteis;Cortisol livre urinário;COLETA596, VOLUME190;Urina 24 horas;Cromatografia líquida/Espectrometria de massas em Tandem;"- (CST1)COLETA:- Ao levantar, esvazie a bexiga, desprezando toda a urina;
- Anote o horário exato que ocorreu a primeira micção;
- Em seguida coletar todo o volume, sem perdas, das demais urinas do dia e da noite no frasco fornecido pelo laboratório sem perder nenhuma micção;
- No dia seguinte, coletar a primeira urina da manhã no mesmo horário que desprezou a urina do dia anterior;
- Lembre-se que a última coleta deve ser realizada no mesmo horário que desprezou a primeira urina do dia anterior;
- Conservar urina refrigerada durante o período da coleta;
- Mantenha frasco sempre bem tampado e em posição vertical para evitar vazamentos;
- Não perder nenhuma urina durante a coleta;
- Coletar em posição vertical para evitar vazamentos.
REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.
- (CST1)VOLUME MÍNIMO:
5,0 mL.
";"- (CST1)ENCAMINHAMENTO:
Refrigerado 2°C - 8°C.

ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 48 horas.
Congelada (-20°C): 30 dias.
";Exame utilizado na avaliação de função da glândula adrenal, principalmente em casos de hiperfunção (Síndrome de Cushing). Cortisol livre na urina de 24 horas tem mais valor diagnóstico que uma simples dosagem sérica do hormônio.;;"- (CST1)PACIENTE:- Para mulheres, o ideal e não realizar dentro do período menstrual, não utilizar creme ou ovulo vaginal nas 24 horas que antecedem o exame;
- Não ter feito uso de contraste radiológico nas 48 horas que antecedem o início do exame;
- Se o cliente for realizar exames de imagem com administração de contraste radiológico, coletar este exame anteriormente;
- Caso já tenha realizado exames de imagem com administração de contraste radiológico aguardar 72 horas para coleta deste exame.
JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
6;FOSFUR;FOSFORO, URINA ISOLADA;01 dia útil;Fosfatúria, Dosagem de fósforo na urina, Fosforo em urina isolada, Fósforo na urina, Fosfato na urina, Fósforo urinário,  Fosfato urinário;COLETA865, VOLUME440;Urina amostra isolada;Colorimétrico;"- (FOSFUR)COLETA:Amostra de urina isolada ou de uma micção.
REJEIÇÃO DE AMOSTRA: Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.- (FOSFUR)VOLUME MÍNIMO:
5,0 mL.
 ";"- (FOSFUR)ENCAMINHAMENTO:
Refrigerada (2°C-8°C).

ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 7 dias.
Congelada (-20°C): 30 dias. ";"A dosagem de fósforo na urina ajuda a determinar a quantidade de fósforo eliminada na urina, permitindo diagnosticar condições como a hipofosfatemia e a hiperfosfatemia, que são, respectivamente, números baixos e elevados de fósforo na urina.
Essas condições podem ser um sintoma de uma série de doenças, como a insuficiência renal, a cetoacidose diabética, o hipotireoidismo e a desnutrição.
Ao longo do tempo, a hipofosfatemia e a hiperfosfatemia podem causar uma série de desequilíbrios no organismo do paciente, ainda que o paciente não apresente sintomas imediatos.";;"- (FOSFUR)PACIENTE:Quando da solicitação conjunta de US, cujo preparo prévio determine ingestão hídrica, chegar com pelo menos duas horas de antecedência, realizar primeiro o exame de urina e depois o preparo para US.
JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
7;GAS;GASOMETRIA VENOSA;.5 hora;Equilibrio ácido-básico- gasometria venosa, Gases sangue venoso, Gaso venosa;COLETA49;Sangue total;Oximetria;- (GAS)COLETA:Coleta: seringa heparinizada (Obs: evitar bolhas de ar na seringa - interferente). Este exame deve ser realizado preferencialmente logo após a coleta (realizado na unidade). Em casos onde seja necessário o transporte (realizado em outra unidade), manter a amostra refrigerada (gelox), visando sempre urgência no tempo entre a coleta e a realização do exame. REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.;- (GAS)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não aceitável.Refrigerada (2°C-8°C): 1 hora.Congelada (-20°C): não aceitável.;;- (GAS)INTERFERENTE(S):Bolhas de ar ambiente dentro da seringa.;- (GAS)PACIENTE:Não se aplica.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
8;GLII;GLICOSURIA, AMOSTRA ISOLADA;01 dia útil;Glicosúria, Dosagem de glicose na urina, Glicose em urina isolada, Glicose na urina,  Glicose urinária;Volume5;Urina amostra isolada;Colorimétrico - Enzimático;"- (GLII)VOLUME MÍNIMO:5 mL. ";;;;;"
Urina isolada";"
Realizamos em amostra de urina isolada.

Retirar frasco no laboratório ou adquirir
em farmacias (frasco coletor universal).

Estar a 2 horas sem urinar (com 2 horas
de retenção urinária). 

Coleta isolada: amostra de urina isolada
ou de uma micção.";"
Urina isolada

Coleta isolada: amostra de urina isolada
ou de uma micção. 

";"
Acondicionamento:
Transporte: caixa térmica com gelox (13ºC a 22ºC)
Após triagem: refrigerado (2ºC a 8ºC)

AFIP"
9;MASUR;MAGNESIO, URINA AMOSTRA ISOLADA;01 dia útil;Dosagem de magnésio na urina, Magnésio em urina isolada, Magnésio na urina, Magnésio urinário;COLETA688, VOLUME276;Urina amostra isolada;Colorimétrico- Azul de xilidil;"- (MASUR)COLETA:Amostra de urina isolada ou de uma micção.
REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
- (MASUR)VOLUME MÍNIMO:
5,0 mL.
";"- (MASUR)ENCAMINHAMENTO:
Refrigerado 2°C - 8°C.

ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 7 dias.
Congelada (-20°C): não se aplica.
";O teste tem utilidade na avaliação dos distúrbios hidroeletrolíticos. Um adulto possui cerca de 24 g de magnésio no organismo, dos quais 50% nos ossos e 50% nos tecidos moles. Menos de 1% está no sangue. O balanço desse elemento no organismo se regula entre o magnésio ingerido na dieta e o eliminado pelo rim. Sua homeostase é principalmente controlada pela reabsorção tubular renal.;;"- (MASUR)PACIENTE:Quando da solicitação conjunta de US, cujo preparo prévio determine ingestão hídrica, chegar com pelo menos duas horas de antecedência, realizar primeiro o exame de urina e depois o preparo para US.
Para mulheres: Não fazer uso de cremes/óvulo vaginal nas 48 horas que antecedem o exame e não colher se estiver em período menstrual.
JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.
";;;;
10;TTPA;TTPA;01 dia útil;;Volume38;Plasma (citrato);Coagulométrico;"- (TTPA)VOLUME MÍNIMO:
2ml ou 4ml, conforme especificação no tubo de coleta utilizado.
";;;;;"
Plasma (citrato)";"Instruções de jejum:
Jejum de 4 horas.

Para bebês ou até 2 anos: jejum de duas horas 
após mamada ou antes da próxima mamada.

Crianças acima de 2 anos: 2 a 3 horas de jejum, 
ou conforme orientação médica.";"Instruções de paciente:
Informar medicação, em especial anticoagulante
oral.";"Instruções de coleta:
Plasma com citrato

Coleta: punção venosa em tubo com citrato (tampa 
azul).
Importante: o longo tempo de garroteamento 
interfere em exames de coagulação, faze-lo 
somente para fixar (pegar) a veia, retirar o 
garrote, dando continuidade à punção."
11;ELES;ELETROFORESE DE PROTEINAS, LIQUIDO SINOVIAL;03 dias úteis;Proteinograma em líquido sinovial;COLETA29, Volume4;Líquido Sinovial;Gel de Agarose;"- (ELES)COLETA:Procedimento médico.REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.- (ELES)VOLUME MÍNIMO:4 mL. ";- (ELES)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;A eletroforese de proteínas em líquido sinovial tem a finalidade de avaliar eventuais alterações nos níveis e composição das proteínas presentes.;;- (ELES)PACIENTE:Trazer acompanhante. Coleta: procedimento médico.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
12;T4L;T4 LIVRE;01 dia corrido;T4L,  T4 Livre, Tetraiodotironina Livre;COLETA1, Volume1;Soro;Quimioluminescência;"- (T4L)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (T4L)VOLUME MÍNIMO:1 mL. ";- (T4L)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: 2 dias.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;A dosagem de tiroxina livre é útil para o diagnóstico e acompanhamento de pacientes com doença da tireóide. Também chamado de T4 livre, é um hormônio produzido pela glândula tireóide. Sua concentração no sangue, geralmente, está elevada no hipertireoidismo e diminuída no hipotireoidismo. Diferentemente da Tiroxina total, não sofre influência dos níveis de proteínas ligadoras.;- (T4L)INTERFERENTE(S):Hemólise intensa.;"- (T4L)PACIENTE:Informar medicação em uso. Caso esteja utilizando hormônio tiroidiano,
o indivíduo deve coletar a amostra antes da próxima dose ou no mínimo quatro horas após a
ingestão do medicamento.
O uso de biotina e suplementos alimentares que contenham biotina devem ser suspensos 3 dias
antes da coleta.JEJUM:Jejum não obrigatório ou conforme 
orientações do profissional solicitante.";;;;
13;MICROALB;MICROALBUMINURIA - AMOSTRA ISOLADA;01 dia útil;Microalbumina em amostra isolada, Microalbumina na urina, Microalbuminúria, Microalbumina urinária;COLETA904, VOLUME477;Urina amostra isolada;Colorimétrico - Jaffe;"- (MICROALB)COLETA:Urina (amostra isolada).
Após assepsia, coletar urina jato médio.
As amostras devem ser coletadas em tubo cônico ou frasco coletor universal sem nenhum conservante.
REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.
Cliente menstruada que não colheu material com tampão vaginal.- (MICROALB)VOLUME MÍNIMO:
5,0 mL.
 ";"- (MICROALB)ENCAMINHAMENTO:
Refrigerado 2°C - 8°C.
ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 4 dias.
Congelada (-20°C): 30 dias.
";"Utilizado como marcador para predizer o risco do desenvolvimento de nefropatia diabética em pacientes diabéticos e diabetes gestacional. Pode ser utilizada também em pacientes hipertensos, como fator de risco para doenças cardiovasculares e rastreamento de nefroesclerose hipertensiva. Marcador renal na gravidez de risco.
Resultados falso-positivos podem ocorrem em casos de hiperglicemia, exercício físico, infecções do trato urinário, hipertensão arterial sistêmica.";;"- (MICROALB)PACIENTE:Coletar amostra isolada de urina. Preferencialmente, a primeira amostra da manhã.
Quando da solicitação conjunta de US, cujo preparo prévio determine ingestão hídrica, chegar com pelo menos duas horas de antecedência, realizar primeiro o exame de urina e depois o preparo para US.
JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
14;CBZ;CARBAMAZEPINA;01 dia útil;"Tegretol;";COLETA15, Volume1;Soro;Quimioluminescência;"- (CBZ)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).Coletar 1 hora antes da próxima dose ou conforme solicitação médica.REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.- (CBZ)VOLUME MÍNIMO:1 mL. ";- (CBZ)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: 2 dias.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;A carbamazepina é um medicamento utilizado, principalmente, para o tratamento das crises epiléticas, distúrbios psiquiátricos e neuralgias. Sua medida está indicada quando há suspeita de que as doses não estão sendo adequadas para a proteção do paciente ou quando há suspeita de intoxicação.;;- (CBZ)PACIENTE:Informar medicação em uso.JEJUM:Jejum desejavel de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
15;KUR;POTASSIO, URINA AMOSTRA ISOLADA;01 dia útil;;Volume5;Urina amostra isolada;Eletrodo ion-seletivo;"- (KUR)VOLUME MÍNIMO:5 mL. ";;;;;"
Amostra isolada";"
Exame realizado preferêncialmente no
laboratório, em amostra de urina isolada.

Não utilizar creme vaginal, nas 24 horas
que precedem o exame 

Estar a 2 horas sem urinar (com 2 horas
de retenção urinária). 

Coleta isolada: amostra de urina isolada
ou de uma micção.";"
Urina isolada

Coleta isolada: amostra de urina isolada ou de 
uma micção";"
Acondicionamento:
Transporte: caixa térmica com gelox (13ºC a 22ºC)
Após triagem: refrigerado (2ºC a 8ºC)

AFIP"
